name,category
出境查驗台,第一航廈
入境查驗台,第一航廈
貴賓室,第一航廈
出境大廳(管制區外),第一航廈
出境層(管制區內),第一航廈
入境大廳(管制區外),第一航廈
入境層(管制區內),第一航廈
美食街,第一航廈
航警局,第一航廈
機場捷運,第一航廈
1號停車場,第一航廈
2號停車場,第一航廈
出境巴士下車處,第一航廈
入境巴士上車處,第一航廈
出境安檢,第一航廈
行李轉盤,第一航廈
海關處,第一航廈
登機門A1,第一航廈
登機門A2,第一航廈
登機門A3,第一航廈
登機門A4,第一航廈
登機門A5,第一航廈
登機門A6,第一航廈
登機門A7,第一航廈
登機門A8,第一航廈
登機門A9,第一航廈
登機門B1,第一航廈
登機門B2,第一航廈
登機門B3,第一航廈
登機門B4,第一航廈
登機門B5,第一航廈
登機門B6,第一航廈
登機門B7,第一航廈
登機門B8,第一航廈
登機門B9,第一航廈
A區轉機櫃檯,第一航廈
B區轉機櫃檯,第一航廈
A區轉機安檢,第一航廈
B區轉機安檢,第一航廈
航廈電車(管制區內),第一航廈
航廈電車(管制區外),第一航廈
其他位置,第一航廈
出境查驗台,第二航廈
入境查驗台,第二航廈
貴賓室,第二航廈
出境大廳(管制區外),第二航廈
出境層(管制區內),第二航廈
入境大廳(管制區外),第二航廈
入境層(管制區內),第二航廈
美食廣場,第二航廈
航警局,第二航廈
機場捷運,第二航廈
3號停車場,第二航廈
4號停車場,第二航廈
巴士售票處,第二航廈
巴士上車處,第二航廈
出境安檢,第二航廈
行李轉盤,第二航廈
伴手禮大街,第二航廈
北側觀景台,第二航廈
南側觀景台,第二航廈
北擴5樓,第二航廈
南側5樓,第二航廈
海關處,第二航廈
登機門D1,第二航廈
登機門D2,第二航廈
登機門D3,第二航廈
登機門D4,第二航廈
登機門D5,第二航廈
登機門D6,第二航廈
登機門D7,第二航廈
登機門D8,第二航廈
登機門D9,第二航廈
登機門C1,第二航廈
登機門C2,第二航廈
登機門C3,第二航廈
登機門C4,第二航廈
登機門C5,第二航廈
登機門C6,第二航廈
登機門C7,第二航廈
登機門C8,第二航廈
登機門C9,第二航廈
C區轉機櫃檯,第二航廈
D區轉機櫃檯,第二航廈
C區轉機安檢,第二航廈
D區轉機安檢,第二航廈
航廈電車(管制區內),第二航廈
航廈電車(管制區外),第二航廈
其他位置,第二航廈
601,遠端機坪
602,遠端機坪
603,遠端機坪
604,遠端機坪
605,遠端機坪
606,遠端機坪
607,遠端機坪
608,遠端機坪
609,遠端機坪
610,遠端機坪
611,遠端機坪
612,遠端機坪
613,遠端機坪
614,遠端機坪
615,遠端機坪
滑行道,貨運站/機坪其他
501,貨運站/機坪其他
502,貨運站/機坪其他
503,貨運站/機坪其他
504,貨運站/機坪其他
505,貨運站/機坪其他
506,貨運站/機坪其他
507,貨運站/機坪其他
508,貨運站/機坪其他
509,貨運站/機坪其他
510,貨運站/機坪其他
511,貨運站/機坪其他
512,貨運站/機坪其他
513,貨運站/機坪其他
514,貨運站/機坪其他
515,貨運站/機坪其他
華儲,貨運站/機坪其他
華修,貨運站/機坪其他
台飛棚廠,貨運站/機坪其他
維修停機坪,貨運站/機坪其他
長榮航太,貨運站/機坪其他
機坪其他位置,貨運站/機坪其他
諾富特飯店,諾富特飯店
其他,其他
